,Age,Job,Credit amount,Duration,Credit_per_Duration,Sex,Housing,Saving accounts,Checking account,Purpose,Age_Group
828,47,2,8335,36,231.52777777777777,male,free,little,little,car,Middle
997,38,2,804,12,67.0,male,own,little,little,radio/TV,Middle
148,28,2,5371,36,149.19444444444446,male,own,little,little,furniture/equipment,Adult
735,29,0,3990,36,110.83333333333333,female,own,little,moderate,domestic appliances,Adult
130,24,2,8487,48,176.8125,female,own,little,moderate,car,Young
654,35,2,2346,24,97.75,male,own,little,little,car,Adult
784,60,3,6468,20,323.4,male,own,little,moderate,car,Senior
318,32,2,701,12,58.416666666666664,male,own,little,little,education,Adult
272,36,3,12169,48,253.52083333333334,male,free,little,moderate,car,Middle
783,23,1,836,12,69.66666666666667,female,own,moderate,moderate,car,Young
567,34,2,2578,24,107.41666666666667,male,own,rich,little,radio/TV,Adult
320,28,3,4249,30,141.63333333333333,male,own,little,moderate,car,Adult
211,45,1,3835,36,106.52777777777777,female,own,little,little,radio/TV,Middle
782,31,1,1410,12,117.5,male,own,little,moderate,education,Adult
367,22,2,3650,18,202.77777777777777,female,rent,little,little,furniture/equipment,Young
970,22,2,1514,15,100.93333333333334,male,own,moderate,moderate,repairs,Young
896,28,3,2606,21,124.0952380952381,female,rent,little,little,radio/TV,Adult
930,24,1,1747,24,72.79166666666667,male,own,little,little,furniture/equipment,Young
251,46,1,2251,12,187.58333333333334,female,own,little,rich,furniture/equipment,Middle
390,30,3,1820,18,101.11111111111111,male,own,little,little,car,Adult
741,23,1,1048,10,104.8,male,own,little,moderate,radio/TV,Young
552,34,2,6999,48,145.8125,male,own,little,little,radio/TV,Adult
287,31,3,7582,48,157.95833333333334,male,free,moderate,moderate,vacation/others,Adult
652,45,2,2303,24,95.95833333333333,male,own,little,little,car,Middle
906,24,1,3763,21,179.1904761904762,male,own,little,little,car,Young
904,36,3,1278,24,53.25,male,own,little,little,radio/TV,Middle
151,38,2,1924,10,192.4,male,own,little,little,radio/TV,Middle
834,25,1,2327,15,155.13333333333333,female,own,little,rich,radio/TV,Young
777,25,2,3509,18,194.94444444444446,female,own,little,little,radio/TV,Young
359,23,2,2406,30,80.2,female,rent,little,little,furniture/equipment,Young
576,27,2,2930,12,244.16666666666666,female,own,little,moderate,radio/TV,Adult
770,26,2,2812,24,117.16666666666667,female,rent,little,little,car,Adult
389,27,2,1449,9,161.0,female,own,little,little,business,Adult
942,31,2,929,24,38.708333333333336,male,own,little,little,furniture/equipment,Adult
50,29,1,2333,24,97.20833333333333,male,own,little,moderate,furniture/equipment,Adult
413,40,1,1597,10,159.7,male,rent,quite rich,little,car,Middle
193,29,2,2108,6,351.3333333333333,male,rent,little,little,radio/TV,Adult
350,23,2,1236,9,137.33333333333334,female,rent,little,little,domestic appliances,Young
994,50,2,2390,12,199.16666666666666,male,own,little,little,car,Middle
722,24,1,1228,12,102.33333333333333,female,own,little,little,car,Young
874,29,1,3590,12,299.1666666666667,male,own,little,little,furniture/equipment,Adult
546,37,2,2022,24,84.25,female,own,little,little,car,Middle
759,35,2,691,12,57.583333333333336,male,own,little,little,car,Adult
233,25,1,866,18,48.111111111111114,male,own,little,moderate,radio/TV,Young
809,26,0,1778,15,118.53333333333333,female,rent,little,moderate,car,Adult
306,24,1,4811,30,160.36666666666667,female,rent,little,little,car,Young
490,26,2,1934,12,161.16666666666666,male,own,little,little,radio/TV,Adult
288,49,2,1092,12,91.0,female,own,little,moderate,radio/TV,Middle
727,25,2,1882,18,104.55555555555556,female,rent,little,little,radio/TV,Young
198,36,2,2760,24,115.0,male,free,little,moderate,car,Middle
583,33,1,2384,36,66.22222222222223,male,rent,little,moderate,repairs,Adult
752,23,1,841,12,70.08333333333333,female,rent,moderate,moderate,business,Young
301,42,2,3804,36,105.66666666666667,female,own,little,moderate,radio/TV,Middle
591,42,2,1965,24,81.875,female,rent,little,moderate,car,Middle
125,30,2,2121,12,176.75,male,own,little,little,car,Adult
489,26,2,3518,6,586.3333333333334,male,rent,little,little,car,Adult
606,74,3,4526,24,188.58333333333334,male,own,little,little,business,Senior
623,22,2,1858,12,154.83333333333334,female,rent,little,little,furniture/equipment,Young
72,51,3,1164,8,145.5,male,free,little,little,vacation/others,Senior
754,55,2,1555,12,129.58333333333334,male,free,rich,little,repairs,Senior
512,26,2,2687,15,179.13333333333333,male,rent,little,rich,business,Adult
217,23,2,3913,36,108.69444444444444,male,own,little,rich,radio/TV,Young
105,39,3,11938,24,497.4166666666667,male,own,little,moderate,vacation/others,Middle
656,41,1,888,12,74.0,male,own,little,moderate,car,Middle
399,43,1,1516,24,63.166666666666664,female,own,rich,little,radio/TV,Middle
208,21,1,6568,24,273.6666666666667,male,own,little,little,business,Young
980,49,2,8386,30,279.53333333333336,male,own,little,moderate,furniture/equipment,Middle
747,37,1,1274,12,106.16666666666667,female,own,little,little,car,Middle
99,36,3,7057,20,352.85,male,rent,little,moderate,car,Middle
948,43,1,1533,18,85.16666666666667,male,own,little,little,furniture/equipment,Middle
785,35,1,1941,18,107.83333333333333,male,own,rich,moderate,business,Adult
432,36,3,1872,6,312.0,male,free,little,little,furniture/equipment,Middle
