,Risk
828,1
997,0
148,0
735,0
130,0
654,0
784,0
318,0
272,0
783,1
567,0
320,1
211,0
782,0
367,0
970,0
896,0
930,0
251,0
390,0
741,0
552,1
287,0
652,1
906,0
904,0
151,0
834,1
777,0
359,1
576,0
770,0
389,0
942,0
50,0
413,0
193,0
350,0
994,0
722,1
874,0
546,0
759,1
233,0
809,1
306,0
490,0
288,0
727,1
198,0
583,1
752,0
301,1
591,0
125,0
489,0
606,0
623,0
72,0
754,1
512,0
217,0
105,1
656,1
399,0
208,0
980,1
747,1
99,0
948,1
785,0
432,0
635,0
597,1
736,1
639,1
986,0
607,1
447,0
62,1
603,1
985,0
655,0
239,0
513,0
928,0
852,0
646,0
862,1
999,0
244,0
0,0
79,0
504,1
51,0
213,1
893,0
305,0
972,1
599,0
837,0
610,1
694,0
750,0
850,1
969,0
33,0
503,1
474,1
467,0
462,0
424,1
267,0
684,0
864,1
950,0
58,0
378,1
77,0
451,0
12,0
568,0
212,1
322,0
650,0
291,1
37,1
913,0
397,0
278,1
271,0
792,0
847,0
36,0
580,1
5,0
165,0
836,0
661,1
135,0
494,0
407,0
114,0
857,0
626,0
458,0
242,1
675,0
813,1
410,0
907,0
35,1
940,0
602,1
808,0
881,0
144,0
553,0
600,0
932,0
419,1
487,0
196,0
422,0
951,1
493,0
388,0
987,0
331,1
497,0
370,0
870,0
392,0
206,0
967,0
701,1
952,1
767,0
670,0
26,0
436,0
457,1
517,1
195,1
719,0
464,0
241,0
158,0
957,0
446,1
609,0
108,0
9,1
962,0
625,0
768,0
720,1
525,0
673,0
679,0
189,0
152,0
590,0
601,1
132,0
529,0
566,1
888,0
789,1
730,0
19,0
712,0
693,0
365,0
716,0
586,0
341,0
630,0
16,0
14,0
615,0
815,0
558,1
177,0
243,0
976,0
68,1
315,1
434,0
469,0
82,0
753,0
225,0
991,0
409,1
279,0
929,0
645,1
275,0
450,0
484,0
869,0
316,0
80,1
539,0
249,1
660,0
252,1
34,0
290,0
183,0
515,0
88,0
863,0
403,0
143,1
248,0
905,0
839,0
575,0
32,0
71,0
861,1
708,0
222,0
798,0
93,0
49,0
90,0
690,0
995,0
922,1
892,0
266,0
176,0
577,0
912,0
886,0
499,0
326,0
786,0
285,0
86,0
781,0
644,0
73,0
884,1
925,1
530,0
319,0
421,0
468,0
311,0
174,1
27,0
496,1
420,0
988,0
710,0
286,0
411,0
394,0
67,0
830,0
707,1
479,0
790,1
733,0
518,0
303,0
569,1
214,0
66,0
984,0
704,0
120,1
170,1
3,0
232,0
255,0
121,0
381,1
408,0
374,1
511,0
889,0
352,0
476,0
557,1
502,0
368,1
54,1
745,0
147,0
531,1
697,0
200,0
538,1
175,1
540,1
927,1
780,1
69,0
550,0
899,1
955,0
377,0
643,0
155,1
387,0
154,0
895,0
843,0
111,0
797,0
667,0
556,1
238,0
732,0
131,1
816,0
184,1
325,0
342,0
270,0
564,0
498,0
617,0
879,0
593,1
637,0
963,1
172,1
398,1
726,0
914,1
923,0
414,1
140,0
882,0
371,0
561,1
483,0
666,0
123,0
943,0
584,0
44,1
103,0
163,0
910,0
7,0
104,0
771,1
76,1
256,0
364,1
223,0
127,1
405,1
302,1
471,1
687,0
805,1
274,1
559,1
975,0
309,0
505,1
106,1
57,0
811,0
91,0
555,1
827,1
456,0
622,1
766,1
755,1
640,1
160,0
475,1
560,0
55,0
878,1
60,0
812,1
281,0
480,0
935,1
619,0
181,1
427,0
449,1
209,0
760,0
207,0
748,0
585,1
321,1
186,1
824,0
676,0
327,0
452,0
25,0
224,0
835,1
825,0
156,0
634,1
145,0
633,1
295,1
470,1
299,0
611,1
897,0
42,0
636,0
903,0
642,1
205,0
363,0
312,0
695,0
366,0
149,0
250,0
565,0
340,0
137,1
204,0
703,0
911,1
757,1
616,0
280,0
333,1
162,0
627,1
688,0
461,0
361,0
360,0
535,1
344,0
547,0
400,0
185,0
885,1
672,0
949,1
406,0
596,1
981,1
880,0
324,0
718,0
153,0
819,1
595,1
384,0
459,0
744,0
56,1
481,0
335,1
102,0
855,0
486,0
119,0
87,1
961,0
48,0
260,0
829,0
702,0
685,0
29,1
197,1
613,0
638,0
146,0
245,0
307,1
116,1
891,0
415,0
169,1
264,0
15,1
965,0
215,0
632,0
45,0
758,0
98,0
960,0
385,0
356,0
582,0
63,1
247,0
776,0
689,0
354,0
40,0
872,0
126,0
328,0
543,1
773,0
526,0
820,0
265,1
533,0
113,1
437,0
581,0
918,1
168,0
401,0
339,0
706,1
358,0
909,0
823,0
173,0
345,0
20,0
323,0
10,1
621,1
191,1
842,1
769,0
926,0
202,0
201,0
763,1
426,0
737,0
674,1
979,1
59,1
521,1
332,1
31,0
17,0
428,0
157,0
237,1
396,0
118,1
18,1
876,0
631,1
711,1
81,0
968,0
453,0
348,0
84,0
100,0
821,0
136,0
8,0
161,0
807,0
939,0
624,1
946,1
723,0
894,0
686,0
959,0
380,0
369,0
210,0
482,0
648,1
762,0
989,0
139,0
246,0
472,1
945,0
203,1
262,0
439,1
954,0
164,0
351,1
294,0
628,0
376,0
101,0
841,0
292,0
692,0
438,0
393,0
536,0
258,0
669,0
391,0
313,1
721,1
649,1
756,0
508,0
765,0
629,0
846,1
916,0
680,0
814,1
705,0
460,0
924,1
549,0
787,0
592,0
231,0
578,1
418,0
867,0
357,1
612,0
731,1
218,0
573,0
226,1
849,1
466,1
866,0
775,1
734,0
269,0
614,1
509,0
343,0
478,0
24,0
74,1
574,0
898,0
75,0
443,1
442,0
902,0
230,1
402,1
349,1
764,0
826,1
109,0
110,0
501,0
971,0
743,0
150,0
958,1
604,0
728,1
588,1
964,0
978,1
179,0
314,0
713,0
618,1
94,0
983,1
53,0
491,1
440,0
956,0
180,1
982,0
495,1
444,1
95,1
507,1
659,0
382,0
253,0
833,0
92,1
254,0
883,0
973,1
908,0
554,0
334,1
605,0
937,0
572,0
519,0
520,0
641,0
873,0
871,0
527,0
454,1
416,1
859,0
448,0
284,0
810,0
740,0
310,0
429,1
589,1
39,0
738,0
445,0
268,1
851,0
23,0
778,0
240,1
300,0
500,1
795,0
425,0
227,1
651,1
774,0
4,1
61,0
188,1
516,0
41,0
97,0
714,1
919,1
990,0
700,1
865,0
868,0
65,0
441,0
838,0
822,1
901,0
117,0
934,0
900,1
488,0
124,1
920,0
362,0
386,0
492,0
545,1
298,0
417,0
749,0
